anime_id,name,score,genres,type,episodes,aired_start,premiered,status,studios,source,rating,rank,popularity,favorites,scored_by
4590,Soukan Yuugi,6.71,Hentai,OVA,2,2007,summer 2007,Finished,Y.O.U.C,Visual novel,Rx,,6414,49,3688
36339,Nissin no Donbei x Kemono Friends,5.96,Comedy,ONA,1,2017,summer 2017,Finished,,Original,G,9031,9491,3,1113
10764,Buta Himesama,5.54,"Fantasy, Supernatural, Hentai",OVA,1,2011,summer 2011,Finished,Seven,Visual novel,Rx,,7248,17,2808
3251,Hatara Kids Mai Ham Gumi,,Action,TV,50,2007,fall 2007,Finished,Toei Animation,Original,PG,16356,14376,1,
3250,Daishikkin Helena,5.79,Hentai,OVA,2,2005,summer 2005,Finished,Y.O.U.C,Original,Rx,,8010,11,1901
19445,Tetsujin 28-gou Gao!,,Slice of Life,TV,151,2013,spring 2013,Finished,Eiken,Manga,G,12886,14989,0,
1105,Digital Juice,5.44,Comedy,OVA,6,2002,winter 2002,Finished,Studio 4°C,,R+,10981,7217,1,2733
38569,Tatakae! Dokan-kun: Gekitou-kun,,Comedy,TV,13,2008,winter 2008,Finished,DLE,Original,G,12846,18767,0,
38570,Tatakae! Dokan-kun: Robolympic-hen,,Comedy,TV,13,2008,spring 2008,Finished,DLE,Original,G,12847,18768,0,
38571,Tobidase! Dokan-kun,,Comedy,TV,15,2011,fall 2011,Finished,DLE,Original,G,13000,18500,0,
4653,Shakkin Shimai,5.96,Hentai,OVA,2,2007,fall 2007,Finished,Blue Cat,Visual novel,Rx,,8452,7,1378
4660,Yoshino no Hime,5.62,"Comedy, Fantasy, Slice of Life",ONA,1,2005,,Finished,,Original,G,10381,14107,1,272
19479,Monkey Punch: Manga Katsudou Daishashin - Crime Mate Special,5.5,"Action, Comedy, Ecchi",Special,1,2005,summer 2005,Finished,TMS Entertainment,,R,10768,13469,0,189
3234,009-1: R&B,6.27,"Action, Sci-Fi",Special,1,2007,spring 2007,Finished,,Manga,R,7519,7829,4,2165
